title,author
The Obituary Writer,Ann Hood
Parts,Tedd Arnold
The Face,Dean Koontz
At Grave's End,Jeaniene Frost
The Collaborator,Margaret Leroy
The neon rain,James Lee Burke
Slated,Teri Terry
Sein und Zeit,Martin Heidegger
Saving Faith,David Baldacci
Jurassic Park,Michael Crichton
Chrysanthemum,Kevin Henkes
The Emerald Atlas,John  Stephens
Dragon Haven,Robin Hobb
The Charm School,Nelson DeMille
The Glass Castle,Jeannette Walls
Hogfather,Terry Pratchett
Plateforme,Michel Houellebecq
The Hellbound Heart,Clive Barker
Zodiac,Neal Stephenson
Redemption Ark,Alastair Reynolds
Montana Sky,Nora Roberts
Skin Game,Jim Butcher
The Game,Neil Strauss
Dawn ,V.C. Andrews
Our Souls at Night,Kent Haruf
One Day,David Nicholls
Fire Study,Maria V. Snyder
The Children Act,Ian McEwan
The First Rule,Robert Crais
Remember Me ,Mary Higgins Clark
The Heist,Daniel Silva
The Struggle,L.J. Smith
The Sky Is Everywhere,Jandy Nelson
Lawrence in Arabia,Scott Anderson
Broken Monsters,Lauren Beukes
The Sixth Man,David Baldacci
Tender Is the Night,F. Scott Fitzgerald
Port Mortuary,Patricia Cornwell
Crush,Nicole  Williams
Thankless in Death ,J.D. Robb
The Poisonwood Bible,Barbara Kingsolver
American on Purpose,Craig Ferguson
Pirate Latitudes,Michael Crichton
Again the Magic ,Lisa Kleypas
The Bone Bed,Patricia Cornwell
Stone Mattress,Margaret Atwood
Ship Breaker,Paolo Bacigalupi
Enchantment,Orson Scott Card
Night of the Living Dummy,R.L. Stine
The Crown Tower,Michael J. Sullivan
The Lathe of Heaven,Ursula K. Le Guin
Crispin: The Cross of Lead,Avi
California,Edan Lepucki
The Song of Achilles,Madeline Miller
Dark of the Moon,John Sandford
Eight Hundred Grapes,Laura Dave
Bad for You,Abbi Glines
The Black Cat,Edgar Allan Poe
A Wedding in December,Anita Shreve
The Capture,Kathryn Lasky
The Accident,Linwood Barclay
The Providence of Fire,Brian Staveley
The Sculptor,Scott McCloud
Dream Chaser,Sherrilyn Kenyon
Finding the Dream,Nora Roberts
Web of Lies,Jennifer Estep
The Ruby in the Smoke,Philip Pullman
The Martian,Andy Weir
The Light Between Oceans,M.L. Stedman
Fallen in Love,Lauren Kate
Pursuit of Honor,Vince Flynn
American Assassin,Vince Flynn
A Civil Action,Jonathan Harr
Frog Music,Emma Donoghue
On the Beach,Nevil Shute
Magician,Raymond E. Feist
The Shining Ones,David Eddings
Skeleton Crew,Stephen King
Skin,Ted Dekker
Trouble in Mudbug,Jana Deleon
Her Daughter's Dream,Francine Rivers
Chasing Fire,Nora Roberts
The Magicians,Lev Grossman
"Morning, Noon & Night",Sidney Sheldon
Open House,Elizabeth Berg
Last to Die,Tess Gerritsen
Summer Knight,Jim Butcher
David and Goliath,Malcolm Gladwell
